N_LINHA,N_CATEGORIA,N_PRODUTO,QTD_ITEM,V_VENDA,V_CUSTO_VENDA,V_PERC_MARGEM_T,CLASSIFICACAO
1,1,1,1008.0,2419.2,2.3,0.6365,CB
1,4,5,354.0,3697.32,60.0,0.5646,BB
3,5,7,516.0,2215.08,2.3,0.5527,CA
1,3,6,153.0,2218.61,2.3,0.5846,CB
1,1,3,108.0,2331.8,2.3,0.6996,CB
1,1,1,150.0,1377.0,2.3,0.6813,DB
1,1,1,3000.0,8250.0,260.0,0.4507,EB
2,4,12,389.0,5074.84,60.0,0.4563,EB
1,1,1,2.0,21.46,2.3,0.2628,FA
2,3,4,72.0,1522.64,2.3,0.6601,CB
2,2,2,13.0,69.6,2.3,0.3131,EA
1,1,1,2.0,27.18,2.3,0.6987,DB
3,3,4,4.0,30.2,2.3,0.5285,DB
1,1,4,648.0,2354.16,2.3,0.6179,CB
1,2,2,65.0,1597.0,2.3,0.6777,CB
2,2,3,108.0,1524.6,2.3,0.653,CB
1,1,2,3.0,20.26,2.3,0.5622,DB
2,1,2,2.0,31.33,2.3,0.6457,DB
2,2,2,2640.0,8656.8,260.0,0.5125,AB
1,1,2,2520.0,6078.24,60.0,0.4459,EB
1,1,2,52.0,640.0,2.3,0.8865,DB
1,1,3,9.0,260.0,2.3,0.8955,DB
5,6,21,36.0,510.13,2.3,0.7340000000000001,DA
1,1,3,3.0,28.96,2.3,0.3246,EA
3,5,9,41.0,653.64,2.3,0.7187,DA
1,2,3,176.0,2843.56,60.0,0.6087,BB
2,2,2,1920.0,6624.0,260.0,0.4718,EB
1,3,4,301.0,3146.9,60.0,0.6537,BB
1,1,1,4.0,1461.2,2.3,0.7198,DB
1,1,1,300.0,2799.0,60.0,0.6666,BB
5,5,10,688.0,8010.78,260.0,0.7691,AA
2,2,6,112.0,1958.94,2.3,0.6885,CB
2,1,2,97.0,730.14,2.3,0.6217,DB
4,7,14,2748.0,24379.2,1280.0,0.5884,AA
1,2,2,480.0,2397.6,2.3,0.7322,CB
2,3,4,112.0,1518.68,2.3,0.639,CB
1,1,2,5400.0,15786.0,260.0,0.5598,AB
2,1,5,197.0,2245.66,2.3,0.6509999999999999,CB
1,1,2,1224.0,3356.16,60.0,0.4827,EB
1,1,1,1.0,43.2,2.3,0.4748,EA
1,1,1,7200.0,21528.0,1280.0,0.1374,FB
1,1,1,1000.0,2990.0,60.0,0.1768,FB
1,1,1,28.0,774.76,2.3,0.6891,DB
5,6,23,323.0,7699.84,260.0,0.6779999999999999,AA
1,1,1,528.0,2613.6,2.3,0.5703,BB
1,1,1,1008.0,7560.0,260.0,0.0518,FB
3,3,8,150.0,1948.08,2.3,0.5392,CA
2,2,3,384.0,1573.92,2.3,0.591,CB
2,2,3,624.0,1535.76,2.3,0.4947,EB
1,1,1,420.0,4809.0,60.0,0.6074,BB
1,1,1,4008.0,10300.56,260.0,0.4207,EB
1,1,3,474.0,5805.4,60.0,0.6618,AB
1,1,1,6000.0,27540.0,1280.0,0.4662,EB
